Comment,Designator,Footprint,LCSC Part #
100R 0.25W,R1-R12,R_Axial_DIN0207_P10.16mm,TBD_AT_ORDER
220R 0.25W,RG,R_Axial_DIN0207_P10.16mm,TBD_AT_ORDER
10k 0.25W,RPD,R_Axial_DIN0207_P10.16mm,TBD_AT_ORDER
N-MOSFET,Q1,INK021ABS1_TO92S,TBD_AT_ORDER
1000uF 10V,Cbulk,Radial P5.0mm,TBD_AT_ORDER
100nF,Cdec,Radial P2.54mm,TBD_AT_ORDER
