Comment,Designator,Footprint,LCSC Part #
1uF 10V X7R,"C1,C2",0805,
4.7uF 10V X7R,C3,0805,
100nF 50V X7R,C4,0805,
AO3400A,Q1,SOT-23-3,C20917
100R 1%,"R1,R6",0805,
100k 1%,R2,0805,
33R 0.5W pulse-rated,"R3,R4,R5",0805,
1k 1%,R7,0805,
MCP1700T-3302E/TT,U1,SOT-23-3,C39051
